Category,category_id,Subcategory,subcateogory_id,amount,year
議会費,1,議会費,1,386988000,2013
総務費,2,総務管理費,2,2975308000,2013
総務費,2,徴税費,3,507040000,2013
総務費,2,戸籍住民基本台帳費,4,232542000,2013
総務費,2,選挙費,5,112548000,2013
総務費,2,統計調査費,6,7024000,2013
総務費,2,監査委員費,7,40843000,2013
民生費,3,社会福祉費,8,4539629000,2013
民生費,3,児童福祉費,9,5580196000,2013
民生費,3,生活保護費,10,1461868000,2013
民生費,3,災害救助費,11,561000,2013
民生費,3,国民健康保険費,12,637155000,2013
衛生費,4,保健衛生費,13,1473500000,2013
衛生費,4,清掃費,14,1989513000,2013
産業経済費,5,農業費,15,166650000,2013
産業経済費,5,商工費,16,275978000,2013
土木費,6,土木管理費,17,254146000,2013
土木費,6,道路橋梁及び河川費,18,1035481000,2013
土木費,6,都市計画費,19,1800778000,2013
土木費,6,住宅費,20,62883000,2013
土木費,6,下水道費,21,793773000,2013
 消防費,7,消防費,22,1897064000,2013
教育費,8,教育総務費,23,279938000,2013
教育費,8,小学校費,24,640706000,2013
教育費,8,中学校費,25,319976000,2013
教育費,8,幼稚園費,26,839256000,2013
教育費,8,社会教育費,27,1094729000,2013
教育費,8,保健体育費,28,1126349000,2013
災害復旧費,9,土木災害復旧費,29,3650000,2013
災害復旧費,9,農林業施設災害復旧費,30,5000000,2013
災害復旧費,9,公債費,31,3528928000,2013
予備費,10,予備費,32,50000000,2013
